station_name,station_label,distribution,return_period_years,original_estimate,bootstrap_mean,bootstrap_std,percentile_2_5,percentile_50,percentile_97_5,successful_bootstrap_fits,failed_bootstrap_fits
萡子寮潮位站,Boziliao,Gumbel,10,2.547645157494547,2.514678054078355,0.07245366314775663,2.3766285475425626,2.514191666272643,2.651869417814634,1000,0
萡子寮潮位站,Boziliao,Gumbel,20,2.6855069903511986,2.640887824882112,0.09325469254913998,2.466918320361959,2.642105268055192,2.804272058844583,1000,0
萡子寮潮位站,Boziliao,Gumbel,50,2.8639549919145737,2.8042534273191566,0.12235627617556374,2.5734280433249617,2.8107632220789815,3.0162816637579857,1000,0
萡子寮潮位站,Boziliao,Gumbel,100,2.9976766576551435,2.9266729573290515,0.14496129549890427,2.650063817811799,2.938450733885724,3.18056892776658,1000,0
萡子寮潮位站,Boziliao,GEV,10,2.545619878578654,2.443876298285552,0.0661823324501431,2.311490402534873,2.4478295154736864,2.5503010980303547,1000,0
萡子寮潮位站,Boziliao,GEV,20,2.5697163206526348,2.506950811730401,0.10196130744647397,2.3241873356357545,2.518683451006117,2.6124244619262185,1000,0
萡子寮潮位站,Boziliao,GEV,50,2.5830122528331136,2.5810701852858924,0.23471575487603838,2.328130621215342,2.5871358668204314,2.7405271597163052,1000,0
萡子寮潮位站,Boziliao,GEV,100,2.5871675171769257,2.6382200841465218,0.47128834355361293,2.329276698143843,2.6227735540987505,2.8512442323021383,1000,0
麥寮潮位站,Mailiao,Gumbel,10,2.893314860305627,2.8989914147831777,0.13983980250076558,2.699408053109554,2.880378569592116,3.203743786044056,1000,0
麥寮潮位站,Mailiao,Gumbel,20,3.0141663693835445,3.020727247559709,0.17509808654648756,2.774090266372651,2.9976580920170663,3.4044888946054708,1000,0
麥寮潮位站,Mailiao,Gumbel,50,3.170596251635991,3.1783017961312012,0.2210908578369289,2.8711455252711016,3.1512123762530706,3.658283530133367,1000,0
麥寮潮位站,Mailiao,Gumbel,100,3.287818435370951,3.2963817461933758,0.25569926236192775,2.942140797017262,3.266380544187842,3.8549339298932375,1000,0
麥寮潮位站,Mailiao,GEV,10,2.9292782421987935,15656.414639781373,277640.76319718215,2.6740902402972964,2.9253701023436065,4.042078229782043,1000,0
麥寮潮位站,Mailiao,GEV,20,3.1274562456077932,13048596.85502927,295394354.21369904,2.704726261015699,3.119513808045305,5.806577085215451,1000,0
麥寮潮位站,Mailiao,GEV,50,3.4414781538379833,97779100860.61024,2610542084031.8003,2.729102230210884,3.42176025330801,10.57537411920218,1000,0
麥寮潮位站,Mailiao,GEV,100,3.728263097572553,84093451328526.11,2392143222176251.5,2.738497871136813,3.6897722970120004,18.002416943501665,1000,0
