station_name,station_label,year,month,date,highest_high_water_level,highest_astronomical_tide,hhw_minus_hat,mean_tide_level
麥寮潮位站,Mailiao,2018,5,2018-05-01,3.927,2.082,1.845,0.349
麥寮潮位站,Mailiao,2018,8,2018-08-01,2.597,2.195,0.4020000000000001,0.548
麥寮潮位站,Mailiao,2018,9,2018-09-01,2.527,2.257,0.27,0.481
麥寮潮位站,Mailiao,2018,6,2018-06-01,2.402,2.077,0.3250000000000002,0.423
麥寮潮位站,Mailiao,2018,1,2018-01-01,2.368,1.991,0.3769999999999998,0.216
麥寮潮位站,Mailiao,2018,10,2018-10-01,2.35,2.213,0.137,0.341
麥寮潮位站,Mailiao,2018,12,2018-12-01,2.273,1.977,0.296,0.21
麥寮潮位站,Mailiao,2018,3,2018-03-01,2.221,2.039,0.1819999999999999,0.296
麥寮潮位站,Mailiao,2018,2,2018-02-01,2.218,1.984,0.2339999999999999,0.201
麥寮潮位站,Mailiao,2018,11,2018-11-01,2.137,2.045,0.092,0.278
麥寮潮位站,Mailiao,2018,4,2018-04-01,2.129,2.064,0.0649999999999999,0.343
麥寮潮位站,Mailiao,2018,7,2018-07-01,,2.105,,
