station_name,period,distribution,n_years,return_level_50yr,return_level_100yr
萡子寮潮位站,all_years,Gumbel,20,2.8639549919145737,2.9976766576551435
萡子寮潮位站,all_years,GEV,20,2.5830122528331136,2.5871675171769257
萡子寮潮位站,last_15_years,Gumbel,15,2.6373644412459223,2.710821286341042
萡子寮潮位站,last_15_years,GEV,15,2.65425438936063,2.735826898266376
萡子寮潮位站,last_10_years,Gumbel,10,2.6925931932099685,2.776800197198507
萡子寮潮位站,last_10_years,GEV,10,2.776806968942773,2.9055943260320505
麥寮潮位站,all_years,Gumbel,20,3.170596251635991,3.287818435370951
麥寮潮位站,all_years,GEV,20,3.4414781538379833,3.728263097572553
麥寮潮位站,last_15_years,Gumbel,15,3.1527007582556426,3.2513254560410836
麥寮潮位站,last_15_years,GEV,15,3.5380282666306493,3.9471867076615617
麥寮潮位站,last_10_years,Gumbel,10,3.32808273284656,3.4584364623926263
麥寮潮位站,last_10_years,GEV,10,4.477505121328065,5.751998514582263
